  채용경쟁률 현황,,,,,,,
연도,구분,전형,직렬(업무분야),선발인원,지원인원,필기 합격선,경쟁률
2024,2024년 부산환경공단 하반기 신규직원 채용 접수결과,일반,환경8급,7,183,N/A,26.14 : 1
2024,2024년 부산환경공단 하반기 신규직원 채용 접수결과,공무직,UIS,1,8,N/A,8 : 1
2024,2024년 부산환경공단 하반기 신규직원 채용 접수결과,공무직,해설,1,1,N/A,1 : 1
2024,2024년 부산환경공단 하반기 신규직원 채용 접수결과,경력,기계8급,2,42,N/A,21 : 1
2024,2024년 부산환경공단 하반기 신규직원 채용 접수결과,보훈,행정8급,1,8,N/A,8 : 1
2024,2024년 부산환경공단 하반기 신규직원 채용 접수결과,공무직,운전경력,2,9,N/A,4.50 : 1
2024,2024년 부산환경공단 하반기 신규직원 채용 접수결과,공무직,운전장애,1,1,N/A,1 : 1
2024,2024년 부산환경공단 하반기 신규직원 채용 접수결과,공무직,운전고졸,1,3,N/A,3 : 1
2024,부산관광공사 무기계약직(운전원) 공개경쟁채용 공고,일반,운전원,3,1,N/A,0.3:1
2024,2024년 부산관광공사 신입사원 공개채용 공고,일반,일반 사무직,4,94,75,23.5:1
2024,부산관광공사 무기계약직(운전원) 공개경쟁채용 공고,일반,운전원,2,2,N/A,1:1
2023,2023년 부산관광공사 신입사원 공개채용 공고 ,일반,행정직(정보보안),1,3, ,3:1
2023,2023년 부산관광공사 신입사원 공개채용 공고 ,일반,행정직(관광마케팅),3,124,,41.3:1
2024,2024년도 부산관광공사 신입사원 모집공고,일반,행정직,4,94,75,23.5:1
